Info 0    [10:12:25.471] Starting TS Server
Info 1    [10:12:25.474] Version: 4.5.4
Info 2    [10:12:25.474] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-1/phase-1-bookliker/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/824496c3d5ed04a48a74d87944647f0c/tscancellation*
Info 3    [10:12:25.474] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [10:12:25.474] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [10:12:25.500] Format host information updated
Info 6    [10:12:25.504] Search path: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-bookliker/js
Info 7    [10:12:25.506] For info: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-bookliker/js/index.js :: No config files found.
Info 8    [10:12:25.513] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [10:12:26.255] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 741.40210200008ms
Info 10   [10:12:26.255] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [10:12:26.255] 	Files (19)

Info 12   [10:12:26.255] -----------------------------------------------
Info 13   [10:30:05.170] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [10:30:05.186] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 16.346518999896944ms
Info 15   [10:30:05.186] Different program with same set of files
Info 16   [10:30:08.174] Format host information updated
Info 17   [10:30:08.206] Format host information updated
Info 18   [10:30:08.390] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [10:30:08.398] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 8.424487999873236ms
Info 20   [10:30:08.398] Different program with same set of files
Info 21   [10:30:10.639] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 22   [10:30:10.653] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 13.842871000058949ms
Info 23   [10:30:10.653] Different program with same set of files
Info 24   [10:30:12.378] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 25   [10:30:12.387] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 9.020659000147134ms
Info 26   [10:30:12.387] Different program with same set of files
Info 27   [10:30:12.845] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [10:30:12.850] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 5.08485300000757ms
Info 29   [10:30:12.850] Different program with same set of files
Info 30   [10:30:15.806] Format host information updated
Info 31   [10:30:16.096] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [10:30:16.108] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 12.402642000000924ms
Info 33   [10:30:16.108] Different program with same set of files
Info 34   [10:30:46.109] Format host information updated
Info 35   [10:30:46.141] Format host information updated
Info 36   [10:30:46.169] Format host information updated
Info 37   [10:30:46.196] Format host information updated
Info 38   [10:30:46.273] Format host information updated
Info 39   [10:30:46.454] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [10:30:46.468] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 13.74182099988684ms
Info 41   [10:30:46.468] Different program with same set of files
Info 42   [10:30:49.140] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [10:30:49.145] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 4.445996999973431ms
Info 44   [10:30:49.145] Different program with same set of files
Info 45   [10:30:55.940] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 46   [10:30:55.945] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 4.366738999960944ms
Info 47   [10:30:55.945] Different program with same set of files
Info 48   [10:32:09.257] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [10:32:09.269] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 11.691725000040606ms
Info 50   [10:32:09.269] Different program with same set of files
Info 51   [10:32:09.577] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [10:32:09.587] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 10.106934000039473ms
Info 53   [10:32:09.587] Different program with same set of files
Info 54   [10:32:09.941] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 55   [10:32:09.946] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 4.189251000061631ms
Info 56   [10:32:09.946] Different program with same set of files
Info 57   [10:32:10.574] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [10:32:10.578] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 3.802875000052154ms
Info 59   [10:32:10.578] Different program with same set of files
Info 60   [10:32:11.946] Format host information updated
Info 61   [10:32:11.960] Format host information updated
Info 62   [10:32:12.161] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [10:32:12.167] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 6.245664999820292ms
Info 64   [10:32:12.167] Different program with same set of files
Info 65   [10:32:50.723] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [10:32:50.729] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 5.144265999784693ms
Info 67   [10:32:50.729] Different program with same set of files
Info 68   [10:32:51.420] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [10:32:51.427] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 6.662932999897748ms
Info 70   [10:32:51.427] Different program with same set of files
Info 71   [10:32:52.722] Format host information updated
Info 72   [10:32:52.726] Format host information updated
Info 73   [10:32:52.729] Format host information updated
Info 74   [10:32:52.905] Format host information updated
Info 75   [10:32:53.034] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 76   [10:32:53.039] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 5.467257000040263ms
Info 77   [10:32:53.040] Different program with same set of files
Info 78   [10:32:53.633] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [10:32:53.637] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 4.141881000017747ms
Info 80   [10:32:53.637] Different program with same set of files
Info 81   [10:32:55.703] Format host information updated
Info 82   [10:32:55.877] Format host information updated
Info 83   [10:32:56.011] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
